index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors
88,Bahubali: The Beginning,2015,8.1,1,0,0,0,S.S. Rajamouli
89,The Dawn Wall,2018,8.1,1,0,0,0,"Josh Lowell,Peter Mortimer"
90,Dolemite Is My Name,2019,7.3,1,0,0,0,Craig Brewer
91,Tarzan,1999,7.3,1,0,0,0,David Yates
92,The Platform,2019,7.0,1,0,0,0,Galder Gaztelu-Urrutia
93,Okja,2017,7.3,1,0,0,0,Bong Joon Ho
95,Saving Mr. Banks,2013,7.5,1,0,0,1,John Lee Hancock
96,Icarus,2017,7.9,1,0,0,0,Bryan Fogel
97,Jiro Dreams of Sushi,2011,7.9,1,1,0,0,David Gelb
98,Corpse Bride,2005,7.3,1,0,0,0,"Tim Burton,Mike Johnson"
99,Jerry Maguire,1996,7.3,1,0,0,0,Cameron Crowe
100,The Death of Stalin,2017,7.2,1,0,0,0,Armando Iannucci
101,GoldenEye,1995,7.2,1,0,0,0,Martin Campbell
102,The Boy in the Striped Pyjamas,2008,7.8,1,0,0,0,Mark Herman
104,Ralph Breaks the Internet,2018,7.1,1,0,0,0,"Phil Johnston,Rich Moore"
105,Good Time,2017,7.4,1,0,0,0,"Benny Safdie,Josh Safdie"
106,Ip Man 2,2010,7.5,1,0,0,0,Wilson Yip
107,The Little Prince,2015,7.7,1,0,0,0,Mark Osborne
108,The Spectacular Now,2013,7.1,1,0,0,0,James Ponsoldt
109,Baahubali 2: The Conclusion,2017,8.2,1,0,0,0,S.S. Rajamouli
110,Black Mirror: Bandersnatch,2018,7.2,1,0,0,0,David Slade
111,PK,2014,8.1,1,0,0,0,Rajkumar Hirani
112,Extraction,2020,6.8,1,0,0,0,Sam Hargrave
113,The Lobster,2015,7.2,1,0,0,0,Yorgos Lanthimos
114,Blue Valentine,2010,7.4,1,0,0,0,Derek Cianfrance
115,Zindagi Na Milegi Dobara,2011,8.1,1,0,0,0,Zoya Akhtar
116,Green Room,2015,7.0,1,0,0,0,Jeremy Saulnier
117,Kung Fu Panda 2,2011,7.2,1,0,0,0,Jennifer Yuh Nelson
118,The Ballad of Buster Scruggs,2018,7.3,1,0,0,0,"Ethan Coen,Joel Coen"
119,Cloverfield,2008,7.0,1,0,0,0,Matt Reeves
120,Burning,2018,7.5,1,0,0,0,Chang-dong Lee
121,The Adventures of Tintin,2011,7.3,1,0,0,0,Steven Spielberg
122,Bolt,2008,6.8,1,0,0,1,"Byron Howard,Chris Williams"
123,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,1,0,0,0,"Hideaki Anno,Kazuya Tsurumaki"
124,Chasing Amy,1997,7.2,1,0,0,0,Kevin Smith
125,The Princess and the Frog,2009,7.1,1,0,0,1,"Ron Clements,John Musker"
126,Bad Genius,2017,7.6,1,0,0,0,Nattawut Poonpiriya
127,The Wicker Man,1973,7.5,1,0,0,0,Robin Hardy
128,A Single Man,2009,7.6,1,0,0,0,Tom Ford
129,Blow,2001,7.6,1,0,0,0,Ted Demme
130,The Squid and the Whale,2005,7.3,1,0,1,0,Noah Baumbach
131,My Life as a Zucchini,2016,7.8,1,0,0,0,Claude Barras
132,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.7,1,0,0,0,Chris Smith
133,Barfi!,2012,8.1,1,0,0,0,Anurag Basu
134,Frances Ha,2013,7.5,1,0,0,0,Noah Baumbach
135,Tootsie,1982,7.4,1,0,0,0,Sydney Pollack
136,Solo: A Star Wars Story,2018,6.9,1,0,0,0,Ron Howard
137,Steve Jobs,2015,7.2,1,0,0,0,Danny Boyle
138,Tremors,1990,7.1,1,0,0,0,Ron Underwood
139,The Croods,2013,7.2,1,0,0,0,"Kirk DeMicco,Chris Sanders"
140,Locke,2014,7.1,1,0,0,0,Steven Knight
141,Bill Burr: I'm Sorry You Feel That Way,2014,8.4,1,0,0,0,Jay Karas
142,Starred Up,2013,7.4,1,0,1,0,David Mackenzie
143,Mudbound,2017,7.4,1,0,0,0,Dee Rees
144,Austin Powers: International Man of Mystery,1997,7.0,1,0,0,0,Jay Roach
145,Blue Ruin,2013,7.1,1,0,0,0,Jeremy Saulnier
146,The Patriot,2000,7.2,1,1,0,0,Roland Emmerich
147,Babel,2006,7.4,1,0,0,0,Alejandro G. Iñárritu
148,The Square,2013,8.1,1,1,1,0,Ruben Östlund
149,Gerald's Game,2017,6.6,1,0,0,0,Mike Flanagan
150,Miracle,2004,7.5,1,0,0,1,Gavin O'Connor
151,Swades,2004,8.2,1,0,0,0,Ashutosh Gowariker
