index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+
127,Scandal,2012,7.7,1,0,0,0
128,Hunter x Hunter,2011,8.9,1,1,0,0
129,One Day at a Time,2017,8.2,1,0,0,0
130,DC's Legends of Tomorrow,2016,6.8,1,0,0,0
131,Manhunt,2017,8.1,1,0,0,0
132,Naruto,2002,8.3,1,1,0,0
133,Charmed,1998,7.1,1,0,0,0
134,The Dragon Prince,2018,8.4,1,0,0,0
135,Locke & Key,2020,7.4,1,0,0,0
136,Alias Grace,2017,7.8,1,0,0,0
137,American Vandal,2017,8.2,1,0,0,0
138,Santa Clarita Diet,2017,7.8,1,0,0,0
139,Maniac,2018,7.8,1,0,0,0
140,Star Trek: Deep Space Nine,1993,7.9,1,1,1,0
141,The Dark Crystal: Age of Resistance,2019,8.5,1,0,0,0
142,Colony,2016,7.4,1,0,0,0
143,Wild Wild Country,2018,8.2,1,0,0,0
144,Rectify,2013,8.3,1,0,0,0
145,Pose,2018,8.6,1,0,0,0
146,Marvel's Luke Cage,2016,7.3,1,0,0,0
147,Hollywood,2020,7.7,1,0,0,0
148,Derry Girls,2018,8.4,1,0,0,0
149,Dark Matter,2015,7.5,1,0,0,0
150,On My Block,2018,8.1,1,0,0,0
151,Law & Order: Special Victims Unit,1999,8.0,1,1,1,0
152,Longmire,2012,8.3,1,0,0,0
153,The Tudors,2007,8.1,1,0,0,0
154,HAPPY!,2017,8.2,1,0,0,0
155,The Stranger,2020,7.3,1,0,0,0
156,Call the Midwife,2012,8.4,1,0,0,0
157,Into the Night,2020,7.2,1,0,0,0
158,Mystery Science Theater 3000,1988,8.5,1,1,0,0
159,Resurrection: Ertugrul,2014,7.7,1,0,0,0
160,The Inbetweeners,2008,8.4,1,0,0,0
161,Reign,2013,7.5,1,0,0,0
162,Extras,2005,8.3,1,0,1,0
163,The Kominsky Method,2018,8.2,1,0,0,0
164,The 4400,2004,7.3,1,0,0,0
165,The Borgias,2011,7.9,1,0,0,0
166,Marco Polo,2014,8.0,1,0,0,0
167,Queer Eye,2018,8.5,1,0,0,0
168,The Spy,2019,7.9,1,0,0,0
169,Love,2016,7.7,1,0,0,0
170,Designated Survivor,2016,7.5,1,0,0,0
171,Ripper Street,2012,8.1,1,0,0,0
172,Feel Good,2020,7.5,1,0,0,0
173,Hell on Wheels,2011,8.3,1,0,0,0
174,The Fosters,2013,7.9,1,0,0,0
175,Hawaii Five-0,2010,7.3,1,0,0,0
176,Marvel's The Defenders,2017,7.3,1,0,0,0
177,Allo 'Allo!,1984,8.3,1,0,0,0
178,Supergirl,2015,6.3,1,0,0,0
179,Star Trek: Voyager,1995,7.8,1,1,1,0
180,Limitless,2015,7.7,1,0,0,0
181,Messiah,2020,7.7,1,0,0,0
182,The Shannara Chronicles,2016,7.2,1,0,0,0
183,Crash Landing on You,2019,8.8,1,0,0,0
184,Bleach,2004,8.1,1,1,0,0
185,Top Boy,2011,8.4,1,0,0,0
186,Jonathan Strange & Mr Norrell,2015,8.2,1,0,0,0
187,Haven,2010,7.5,1,0,0,0
188,Queen of the South,2016,7.9,1,0,0,0
189,Delhi Crime,2019,8.5,1,0,0,0
190,Hart of Dixie,2011,7.7,1,0,0,0
191,Bloodline,2015,8.0,1,0,0,0
192,Middleditch & Schwartz,2020,8.7,1,0,0,0
193,Haikyu!!,2014,8.7,1,1,0,0
194,Dirty Money,2018,8.1,1,0,0,0
195,Don't F**k with Cats: Hunting an Internet Killer,2019,8.1,1,0,0,0
196,Babylon Berlin,2017,8.4,1,0,0,0
197,That '70s Show,1998,8.1,1,0,0,0
198,The Magicians,2015,7.6,1,0,0,0
199,Chef's Table,2015,8.6,1,0,0,0
200,TURN: Washington's Spies,2014,8.1,1,0,0,0
201,Crazy Ex-Girlfriend,2015,7.8,1,0,0,0
202,Soul Eater,2008,7.8,1,1,0,0
203,Lost Girl,2010,7.7,1,0,0,0
204,Wynonna Earp,2016,7.4,1,0,0,0
205,Merlin,2008,7.9,1,1,1,0
206,Galavant,2015,8.1,1,0,0,0
207,Travelers,2016,8.1,1,0,0,0
208,Hilda,2018,8.6,1,0,0,0
209,The Originals,2013,8.2,1,0,0,0
210,Episodes,2011,7.8,1,0,0,0
211,Absolutely Fabulous,1992,8.1,1,1,0,0
212,Living with Yourself,2019,7.2,1,0,0,0
213,Malcolm in the Middle,2000,8.0,1,1,0,0
214,F is for Family,2015,8.0,1,0,0,0
215,The Keepers,2017,8.1,1,0,0,0
216,Cheer,2020,8.2,1,0,0,0
217,Disenchantment,2018,7.2,1,0,0,0
218,Dead Set,2008,7.7,1,0,0,0
219,Ezel,2009,8.6,1,0,0,0
220,Nurse Jackie,2009,7.7,1,0,0,0
221,Case Closed,1996,8.4,1,1,0,0
222,Imposters,2017,7.8,1,0,0,0
223,Queer as Folk,1999,8.2,1,0,1,0
224,Heartland,2007,8.4,1,0,1,0
225,The Staircase,2005,7.9,1,0,0,0
226,Madam Secretary,2014,7.6,1,0,0,0
227,Chewing Gum,2015,7.7,1,0,0,0
228,Glee,2009,6.7,1,0,0,0
229,Fairy Tail,2009,8.0,1,1,0,0
230,The Order,2019,6.9,1,0,0,0
231,Legacies,2018,7.5,1,0,0,0
232,North & South,2004,8.6,1,0,0,0
233,Helix,2014,6.8,1,0,0,0
234,Safe,2018,7.3,1,0,0,0
235,Evil Genius,2018,7.6,1,0,0,0
236,Marvel's Iron Fist,2017,6.5,1,0,0,0
237,Lilyhammer,2012,8.0,1,0,0,0
238,Voltron: Legendary Defender,2016,8.1,1,0,0,0
239,Blue Mountain State,2010,8.3,1,0,0,0
240,Pokémon,1997,7.5,1,1,1,0
241,Cheers,1982,7.8,1,1,1,0
242,Marianne,2019,7.5,1,0,0,0
243,Star Trek: Enterprise,2001,7.5,1,1,1,0
244,Portlandia,2011,7.8,1,0,0,0
245,Better Than Us,2018,7.4,1,0,0,0
246,Five Came Back,2017,8.3,1,0,0,0
247,American Crime,2015,7.8,1,0,0,0
248,Skins,2007,8.2,1,0,0,0
249,Glitch,2015,7.4,1,0,0,0
250,GHOUL,2018,7.1,1,0,0,0
251,JoJo's Bizarre Adventure,2012,8.4,1,1,0,0
252,The Society,2019,7.0,1,0,0,0
253,Code Geass: Lelouch of the Rebellion,2006,8.6,1,0,0,0
254,Dracula,2020,6.8,1,0,0,0
255,Quantico,2015,6.7,1,0,0,0
256,The Innocence Files,2020,8.0,1,0,0,0
257,Medici: Masters of Florence,2016,7.9,1,0,0,0
258,She-Ra and the Princesses of Power,2018,7.3,1,0,0,0
259,Versailles,2015,7.9,1,0,0,0
260,Rise of Empires: Ottoman,2020,8.0,1,0,0,0
261,The Mechanism,2018,8.4,1,0,0,0
262,Everything Sucks!,2018,7.5,1,0,0,0
263,Raising Dion,2019,7.2,1,0,0,0
264,All American,2018,7.7,1,0,0,0
265,Fullmetal Alchemist,2003,8.6,1,0,0,0
266,The Rain,2018,6.3,1,0,0,0
267,ERASED,2016,8.5,1,1,0,0
268,Nailed It!,2018,7.4,1,0,0,0
269,Last Tango in Halifax,2012,8.3,1,0,0,0
270,Star-Crossed,2014,7.3,1,0,0,0
271,The Politician,2019,7.5,1,0,0,0
272,Documentary Now!,2015,8.1,1,0,0,0
273,Baby,2018,6.8,1,0,0,0
274,Secret City,2016,7.4,1,0,0,0
275,Abstract: The Art of Design,2017,8.4,1,0,0,0
276,Shooter,2016,7.5,1,0,0,0
277,Marcella,2016,7.4,1,0,0,0
278,The Chef Show,2019,8.2,1,0,0,0
279,Rurouni Kenshin,1996,8.5,1,1,1,0
280,The Seven Deadly Sins,2014,8.1,1,0,0,0
281,InuYasha,2000,7.9,1,1,0,0
282,Yeh Meri Family,2018,9.2,1,0,0,0
283,The Circle,2020,7.5,1,0,0,0
284,The Devil Next Door,2019,7.6,1,0,0,0
285,Flowers,2016,8.2,1,0,0,0
286,Descendants of the Sun,2016,8.4,1,1,1,0
287,The Hollow,2018,7.2,1,0,0,0
288,Frontier,2016,7.2,1,0,0,0
289,Your Lie in April,2014,8.6,1,1,0,0
290,Ancient Aliens,2010,7.3,1,1,1,0
291,Sword Art Online,2012,7.6,1,1,0,0
292,Frequency,2016,7.5,1,0,0,0
293,Wentworth,2013,8.6,1,0,0,0
294,Beauty and the Beast,2012,7.0,1,0,1,0
295,Cold Justice,2013,7.9,1,0,0,0
296,Hyperdrive,2019,8.1,1,0,0,0
297,Time: The Kalief Browder Story,2017,8.5,1,0,0,0
298,The Toys That Made Us,2017,8.1,1,0,0,0
299,Seven Seconds,2018,7.7,1,0,0,0
300,Spinning Out,2020,7.7,1,0,0,0
301,Killer Inside: The Mind of Aaron Hernandez,2020,7.4,1,0,0,0
302,El internado,2007,8.2,1,0,0,0
303,Frozen Planet,2011,9.0,1,0,0,0
304,London Spy,2015,7.5,1,0,0,0
305,Parasyte -the maxim-,2014,8.4,1,1,0,0
306,Containment,2016,7.2,1,0,0,0
307,Black Lightning,2018,6.1,1,0,0,0
308,Merlí,2015,8.6,1,0,0,0
309,Derek,2013,8.0,1,0,0,0
310,Last Chance U,2016,8.5,1,0,0,0
311,Mars,2016,7.5,1,0,0,0
312,Love is Blind,2020,6.0,1,0,0,0
313,Love 101,2020,7.7,1,0,0,0
314,3%,2016,7.4,1,0,0,0
315,Zoo,2015,6.8,1,0,0,0
316,Daybreak,2019,6.7,1,0,0,0
317,Hemlock Grove,2013,7.1,1,0,0,0
318,Trailer Park Boys,2001,8.4,1,0,0,0
319,Private Practice,2007,6.6,1,1,0,0
320,Ragnarok,2020,7.5,1,0,0,0
321,Akame ga Kill!,2014,7.9,1,1,0,0
322,Insatiable,2018,6.6,1,0,0,0
323,No Tomorrow,2016,7.2,1,0,0,0
324,The Ranch,2016,7.5,1,0,0,0
325,Ramayan,1987,9.3,1,0,0,0
326,Surviving R. Kelly,2019,7.6,1,0,0,0
327,Easy,2016,6.9,1,0,0,0
328,Self Made: Inspired by the Life of Madam C.J. Walker,2020,7.4,1,0,0,0
329,Knightfall,2017,6.8,1,0,0,0
330,Kim's Convenience,2016,8.1,1,0,0,0
331,Kengan Ashura,2019,8.0,1,0,0,0
332,Spotless,2015,7.9,1,0,0,0
333,Carmen Sandiego,2019,7.9,1,0,0,0
